outcome,outcome_label,model,model_description,sample,formula,n,term,coefficient_log_scale,standard_error_hc3,ci_low_log_scale,ci_high_log_scale,p_value,r_squared,adjusted_r_squared,aic_nonrobust_likelihood,bic_nonrobust_likelihood,percent_difference,percent_ci_low,percent_ci_high
daly_rate,DALY Rate,M2_primary,"Primary model: GDP, age structure, urbanization, and World Bank region",model_specific_complete_case,log_daly_rate ~ reg_binary + z_log_gdp_per_capita_ppp + z_population_age_65plus_pct + z_urban_population_pct + C(wb_region),160,reg_binary,-0.034003598560146564,0.036668813672337715,-0.1058731527137384,0.03786595559344527,0.3537621930102044,0.6909498367747329,0.670208215081762,-100.7274073039622,-66.9004953363901,-3.34319736219304,-10.046125511198822,3.8592006098310705
daly_rate,DALY Rate,M2_primary,"Primary model: GDP, age structure, urbanization, and World Bank region",model_specific_complete_case,log_daly_rate ~ reg_binary + z_log_gdp_per_capita_ppp + z_population_age_65plus_pct + z_urban_population_pct + C(wb_region),160,z_log_gdp_per_capita_ppp,-0.19320764018335146,0.032900412765510395,-0.2576912642802537,-0.12872401608644923,4.292743673114525e-09,0.6909498367747329,0.670208215081762,-100.7274073039622,-66.9004953363901,,,
daly_rate,DALY Rate,M2_primary,"Primary model: GDP, age structure, urbanization, and World Bank region",model_specific_complete_case,log_daly_rate ~ reg_binary + z_log_gdp_per_capita_ppp + z_population_age_65plus_pct + z_urban_population_pct + C(wb_region),160,z_population_age_65plus_pct,0.16319083201429008,0.028680685708550653,0.10697772097361816,0.219403943054962,1.2709826026301903e-08,0.6909498367747329,0.670208215081762,-100.7274073039622,-66.9004953363901,,,
daly_rate,DALY Rate,M2_primary,"Primary model: GDP, age structure, urbanization, and World Bank region",model_specific_complete_case,log_daly_rate ~ reg_binary + z_log_gdp_per_capita_ppp + z_population_age_65plus_pct + z_urban_population_pct + C(wb_region),160,z_urban_population_pct,-0.028217036357673614,0.024989140091829166,-0.07719485094228472,0.02076077822693749,0.2588252988180778,0.6909498367747329,0.670208215081762,-100.7274073039622,-66.9004953363901,,,
daly_rate,DALY Rate,M3_health_system,Health-system sensitivity model replacing GDP with health spending,model_specific_complete_case,log_daly_rate ~ reg_binary + z_log_health_expenditure_per_capita + z_population_age_65plus_pct + z_urban_population_pct + C(wb_region),163,Intercept,10.416223757402882,0.05591869569982651,10.306625127768767,10.525822387036998,0.0,0.6698344167339566,0.6481129967822432,-95.07822728999082,-61.046975081116436,,,
daly_rate,DALY Rate,M3_health_system,Health-system sensitivity model replacing GDP with health spending,model_specific_complete_case,log_daly_rate ~ reg_binary + z_log_health_expenditure_per_capita + z_population_age_65plus_pct + z_urban_population_pct + C(wb_region),163,C(wb_region)[T.Europe & Central Asia],0.00489167467140561,0.05964412781287715,-0.11200866773113735,0.12179201707394857,0.9346352982828819,0.6698344167339566,0.6481129967822432,-95.07822728999082,-61.046975081116436,,,
daly_rate,DALY Rate,M3_health_system,Health-system sensitivity model replacing GDP with health spending,model_specific_complete_case,log_daly_rate ~ reg_binary + z_log_health_expenditure_per_capita + z_population_age_65plus_pct + z_urban_population_pct + C(wb_region),163,C(wb_region)[T.Latin America & Caribbean],0.049003853279159446,0.05902031306039734,-0.06667383467549831,0.1646815412338172,0.4063760133434823,0.6698344167339566,0.6481129967822432,-95.07822728999082,-61.046975081116436,,,
daly_rate,DALY Rate,M3_health_system,Health-system sensitivity model replacing GDP with health spending,model_specific_complete_case,log_daly_rate ~ reg_binary + z_log_health_expenditure_per_capita + z_population_age_65plus_pct + z_urban_population_pct + C(wb_region),163,"C(wb_region)[T.Middle East, North Africa, Afghanistan & Pakistan]",-0.10228152751795383,0.06389576853666026,-0.2275149326143155,0.02295187757840783,0.10943099796366688,0.6698344167339566,0.6481129967822432,-95.07822728999082,-61.046975081116436,,,
daly_rate,DALY Rate,M3_health_system,Health-system sensitivity model replacing GDP with health spending,model_specific_complete_case,log_daly_rate ~ reg_binary + z_log_health_expenditure_per_capita + z_population_age_65plus_pct + z_urban_population_pct + C(wb_region),163,C(wb_region)[T.North America],0.23805899596167285,0.20359393459549996,-0.1609777833163104,0.6370957752396561,0.24228949293247581,0.6698344167339566,0.6481129967822432,-95.07822728999082,-61.046975081116436,,,
daly_rate,DALY Rate,M3_health_system,Health-system sensitivity model replacing GDP with health spending,model_specific_complete_case,log_daly_rate ~ reg_binary + z_log_health_expenditure_per_capita + z_population_age_65plus_pct + z_urban_population_pct + C(wb_region),163,C(wb_region)[T.South Asia],-0.1816531849850399,0.07917658905993501,-0.33683644796124057,-0.02646992200883924,0.0217744784536111,0.6698344167339566,0.6481129967822432,-95.07822728999082,-61.046975081116436,,,
daly_rate,DALY Rate,M3_health_system,Health-system sensitivity model replacing GDP with health spending,model_specific_complete_case,log_daly_rate ~ reg_binary + z_log_health_expenditure_per_capita + z_population_age_65plus_pct + z_urban_population_pct + C(wb_region),163,C(wb_region)[T.Sub-Saharan Africa],0.32718559199790176,0.06676201915526817,0.19633443891840296,0.45803674507740055,9.545964215475778e-07,0.6698344167339566,0.6481129967822432,-95.07822728999082,-61.046975081116436,,,
daly_rate,DALY Rate,M3_health_system,Health-system sensitivity model replacing GDP with health spending,model_specific_complete_case,log_daly_rate ~ reg_binary + z_log_health_expenditure_per_capita + z_population_age_65plus_pct + z_urban_population_pct + C(wb_region),163,reg_binary,-0.05505647480515852,0.03768830141551656,-0.1289241882180609,0.018811238607743877,0.1440601090281792,0.6698344167339566,0.6481129967822432,-95.07822728999082,-61.046975081116436,-5.356830310149907,-12.09593953458279,1.8989284626471647
daly_rate,DALY Rate,M3_health_system,Health-system sensitivity model replacing GDP with health spending,model_specific_complete_case,log_daly_rate ~ reg_binary + z_log_health_expenditure_per_capita + z_population_age_65plus_pct + z_urban_population_pct + C(wb_region),163,z_log_health_expenditure_per_capita,-0.18363221752531134,0.03567354520794926,-0.2535510813337533,-0.11371335371686934,2.638767718151732e-07,0.6698344167339566,0.6481129967822432,-95.07822728999082,-61.046975081116436,,,
daly_rate,DALY Rate,M3_health_system,Health-system sensitivity model replacing GDP with health spending,model_specific_complete_case,log_daly_rate ~ reg_binary + z_log_health_expenditure_per_capita + z_population_age_65plus_pct + z_urban_population_pct + C(wb_region),163,z_population_age_65plus_pct,0.18308017688329156,0.030214256205508373,0.12386132290082932,0.2422990308657538,1.3663268837620234e-09,0.6698344167339566,0.6481129967822432,-95.07822728999082,-61.046975081116436,,,
daly_rate,DALY Rate,M3_health_system,Health-system sensitivity model replacing GDP with health spending,model_specific_complete_case,log_daly_rate ~ reg_binary + z_log_health_expenditure_per_capita + z_population_age_65plus_pct + z_urban_population_pct + C(wb_region),163,z_urban_population_pct,-0.035673656395828035,0.02195088982332164,-0.07869660987814525,0.007349297086489175,0.10412897282863441,0.6698344167339566,0.6481129967822432,-95.07822728999082,-61.046975081116436,,,
daly_rate,DALY Rate,M4_environment,Environmental-context sensitivity model adding PM2.5,model_specific_complete_case,log_daly_rate ~ reg_binary + z_log_gdp_per_capita_ppp + z_population_age_65plus_pct + z_urban_population_pct + z_pm25_mean_annual_ug_m3 + C(wb_region),160,Intercept,10.409468999841879,0.047506693323435045,10.316357591903357,10.502580407780401,0.0,0.6961787665746224,0.6735974586848984,-101.45766710578789,-64.55558132298196,,,
daly_rate,DALY Rate,M4_environment,Environmental-context sensitivity model adding PM2.5,model_specific_complete_case,log_daly_rate ~ reg_binary + z_log_gdp_per_capita_ppp + z_population_age_65plus_pct + z_urban_population_pct + z_pm25_mean_annual_ug_m3 + C(wb_region),160,C(wb_region)[T.Europe & Central Asia],0.034991536219258323,0.06229662021272623,-0.08710759575625504,0.1570906681947717,0.5743256340976912,0.6961787665746224,0.6735974586848984,-101.45766710578789,-64.55558132298196,,,
daly_rate,DALY Rate,M4_environment,Environmental-context sensitivity model adding PM2.5,model_specific_complete_case,log_daly_rate ~ reg_binary + z_log_gdp_per_capita_ppp + z_population_age_65plus_pct + z_urban_population_pct + z_pm25_mean_annual_ug_m3 + C(wb_region),160,C(wb_region)[T.Latin America & Caribbean],0.053005085391964024,0.055247787132654116,-0.05527858761357346,0.1612887583975015,0.33735400818251915,0.6961787665746224,0.6735974586848984,-101.45766710578789,-64.55558132298196,,,
daly_rate,DALY Rate,M4_environment,Environmental-context sensitivity model adding PM2.5,model_specific_complete_case,log_daly_rate ~ reg_binary + z_log_gdp_per_capita_ppp + z_population_age_65plus_pct + z_urban_population_pct + z_pm25_mean_annual_ug_m3 + C(wb_region),160,"C(wb_region)[T.Middle East, North Africa, Afghanistan & Pakistan]",-0.10017565557951091,0.05897416914950866,-0.21576290313072105,0.01541159197169921,0.08938776090564057,0.6961787665746224,0.6735974586848984,-101.45766710578789,-64.55558132298196,,,
daly_rate,DALY Rate,M4_environment,Environmental-context sensitivity model adding PM2.5,model_specific_complete_case,log_daly_rate ~ reg_binary + z_log_gdp_per_capita_ppp + z_population_age_65plus_pct + z_urban_population_pct + z_pm25_mean_annual_ug_m3 + C(wb_region),160,C(wb_region)[T.North America],0.18271242521604059,0.17170519158026162,-0.15382356623982235,0.5192484166719036,0.28728094526258585,0.6961787665746224,0.6735974586848984,-101.45766710578789,-64.55558132298196,,,
daly_rate,DALY Rate,M4_environment,Environmental-context sensitivity model adding PM2.5,model_specific_complete_case,log_daly_rate ~ reg_binary + z_log_gdp_per_capita_ppp + z_population_age_65plus_pct + z_urban_population_pct + z_pm25_mean_annual_ug_m3 + C(wb_region),160,C(wb_region)[T.South Asia],-0.1366712901708107,0.08874803693042957,-0.3106142462530833,0.037271665911461915,0.12356223952851515,0.6961787665746224,0.6735974586848984,-101.45766710578789,-64.55558132298196,,,
daly_rate,DALY Rate,M4_environment,Environmental-context sensitivity model adding PM2.5,model_specific_complete_case,log_daly_rate ~ reg_binary + z_log_gdp_per_capita_ppp + z_population_age_65plus_pct + z_urban_population_pct + z_pm25_mean_annual_ug_m3 + C(wb_region),160,C(wb_region)[T.Sub-Saharan Africa],0.29456247717688155,0.06745380463177451,0.1623554494784024,0.4267695048753607,1.2603557653865959e-05,0.6961787665746224,0.6735974586848984,-101.45766710578789,-64.55558132298196,,,
daly_rate,DALY Rate,M4_environment,Environmental-context sensitivity model adding PM2.5,model_specific_complete_case,log_daly_rate ~ reg_binary + z_log_gdp_per_capita_ppp + z_population_age_65plus_pct + z_urban_population_pct + z_pm25_mean_annual_ug_m3 + C(wb_region),160,reg_binary,-0.04103016804436155,0.03694551931284242,-0.1134420552876617,0.031381719198938604,0.2667583464893316,0.6961787665746224,0.6735974586848984,-101.45766710578789,-64.55558132298196,-4.01998257832018,-10.72440746022546,3.187931686498846
daly_rate,DALY Rate,M4_environment,Environmental-context sensitivity model adding PM2.5,model_specific_complete_case,log_daly_rate ~ reg_binary + z_log_gdp_per_capita_ppp + z_population_age_65plus_pct + z_urban_population_pct + z_pm25_mean_annual_ug_m3 + C(wb_region),160,z_log_gdp_per_capita_ppp,-0.19720108524177005,0.034194659131445315,-0.26422138560302655,-0.13018078488051354,8.068824966134023e-09,0.6961787665746224,0.6735974586848984,-101.45766710578789,-64.55558132298196,,,
daly_rate,DALY Rate,M4_environment,Environmental-context sensitivity model adding PM2.5,model_specific_complete_case,log_daly_rate ~ reg_binary + z_log_gdp_per_capita_ppp + z_population_age_65plus_pct + z_urban_population_pct + z_pm25_mean_annual_ug_m3 + C(wb_region),160,z_population_age_65plus_pct,0.1823835571845106,0.03596922975995164,0.1118851623033591,0.2528819520656621,3.966804767609795e-07,0.6961787665746224,0.6735974586848984,-101.45766710578789,-64.55558132298196,,,
