country,iso_code,outcome,model,cooks_distance,studentized_residual,hat_value,cooks_threshold_4_over_n,flag_influential,flag_large_studentized_residual
Romania,ROU,daly_rate,M2_primary,0.0017903150236819136,0.7494232825447587,0.033780342624617724,0.025,False,False
Sri Lanka,LKA,daly_rate,M2_primary,0.0017641221590482556,-0.28140208850895176,0.19584563069803687,0.025,False,False
Lebanon,LBN,daly_rate,M2_primary,0.0017042473582752164,-0.45646005105812887,0.0821448490630583,0.025,False,False
Georgia,GEO,daly_rate,M2_primary,0.0016985268064655518,0.8024452959043343,0.02813211145889204,0.025,False,False
Portugal,PRT,daly_rate,M2_primary,0.0016009155896554617,-0.6292162930773243,0.04242011916704485,0.025,False,False
Cyprus,CYP,daly_rate,M2_primary,0.0015179153550161158,-0.6918897831432715,0.03358968137089763,0.025,False,False
Italy,ITA,daly_rate,M2_primary,0.0015059226658974095,-0.6429357704591326,0.03838386191175005,0.025,False,False
Uganda,UGA,daly_rate,M2_primary,0.0014387113795461231,-0.7238864030105602,0.029224999441097313,0.025,False,False
Uruguay,URY,daly_rate,M2_primary,0.0014052707130779202,0.44586617709903215,0.07178759446095448,0.025,False,False
Thailand,THA,daly_rate,M2_primary,0.0013772439489544,0.4606889796307254,0.06629708193918764,0.025,False,False
Solomon Islands,SLB,daly_rate,M2_primary,0.0013641718230806715,-0.40459803051792337,0.08353802910592492,0.025,False,False
Armenia,ARM,daly_rate,M2_primary,0.0013311057710951324,-0.614271850446191,0.03720482054927435,0.025,False,False
Burkina Faso,BFA,daly_rate,M2_primary,0.0012745297494874295,-0.6645297154580427,0.03065912352266192,0.025,False,False
Kazakhstan,KAZ,daly_rate,M2_primary,0.0011779230423061714,0.41359673457368484,0.07004759786516006,0.025,False,False
Morocco,MAR,daly_rate,M2_primary,0.0011242628922197796,0.4001245276236347,0.07133067080598753,0.025,False,False
Spain,ESP,daly_rate,M2_primary,0.001117917102790989,-0.6909432541949592,0.02502561855840066,0.025,False,False
Azerbaijan,AZE,daly_rate,M2_primary,0.0010786763616873626,0.3712560290835596,0.07884083363538091,0.025,False,False
France,FRA,daly_rate,M2_primary,0.0010335057142746385,-0.6433715097630266,0.026628632956505444,0.025,False,False
Mexico,MEX,daly_rate,M2_primary,0.0010312042216548399,0.44685677141036706,0.0534800090367723,0.025,False,False
Kuwait,KWT,daly_rate,M2_primary,0.0009976920955538167,-0.34697035580672203,0.08309192931354548,0.025,False,False
Sweden,SWE,daly_rate,M2_primary,0.0009961790737448865,-0.6100367217891127,0.02848611738747313,0.025,False,False
Malaysia,MYS,daly_rate,M2_primary,0.0009687884563309701,-0.3626822833389149,0.07453975966187848,0.025,False,False
Iceland,ISL,daly_rate,M2_primary,0.000966702991865649,-0.48320147074966147,0.0433455383184133,0.025,False,False
Ecuador,ECU,daly_rate,M2_primary,0.0008071233384467702,-0.416128960535717,0.04851350153050363,0.025,False,False
