population_group_id,population_group_name,measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
1,All Population,1,Deaths,157,Yemen,3,Both,22,All ages,294,All causes,2,Percent,2023,1.0,1.0,1.0
1,All Population,1,Deaths,157,Yemen,3,Both,22,All ages,294,All causes,3,Rate,2023,417.1457643140958,446.05195315932554,393.240535459052
1,All Population,1,Deaths,175,Burundi,3,Both,22,All ages,294,All causes,1,Number,2023,114127.14697879917,117885.08478938464,109790.04301784177
1,All Population,1,Deaths,175,Burundi,3,Both,22,All ages,294,All causes,2,Percent,2023,1.0,1.0,1.0
1,All Population,1,Deaths,175,Burundi,3,Both,22,All ages,294,All causes,3,Rate,2023,799.5039143620558,825.8296928383234,769.1208575208582
1,All Population,1,Deaths,72,New Zealand,3,Both,22,All ages,294,All causes,1,Number,2023,38783.28725864347,39333.49702825951,38198.241068364674
1,All Population,1,Deaths,72,New Zealand,3,Both,22,All ages,294,All causes,2,Percent,2023,1.0,1.0,1.0
1,All Population,1,Deaths,72,New Zealand,3,Both,22,All ages,294,All causes,3,Rate,2023,757.6178524967801,768.3660064967055,746.189181292751
1,All Population,1,Deaths,27,Samoa,3,Both,22,All ages,294,All causes,1,Number,2023,1392.8779329358704,1444.6227825119456,1345.421375229028
1,All Population,1,Deaths,27,Samoa,3,Both,22,All ages,294,All causes,2,Percent,2023,1.0,1.0,1.0
1,All Population,1,Deaths,27,Samoa,3,Both,22,All ages,294,All causes,3,Rate,2023,635.3973747238421,659.0021291669095,613.7488357762829
1,All Population,1,Deaths,62,Russian Federation,3,Both,22,All ages,294,All causes,1,Number,2023,1796223.049749397,1827127.8140722823,1775998.9980276953
1,All Population,1,Deaths,62,Russian Federation,3,Both,22,All ages,294,All causes,2,Percent,2023,1.0,1.0,1.0
1,All Population,1,Deaths,62,Russian Federation,3,Both,22,All ages,294,All causes,3,Rate,2023,1208.458684650001,1229.250718717408,1194.8523950829497
1,All Population,1,Deaths,11,Indonesia,3,Both,22,All ages,294,All causes,1,Number,2023,1875891.4527532398,2014128.2472029012,1751063.430123855
1,All Population,1,Deaths,11,Indonesia,3,Both,22,All ages,294,All causes,2,Percent,2023,1.0,1.0,1.0
1,All Population,1,Deaths,11,Indonesia,3,Both,22,All ages,294,All causes,3,Rate,2023,652.5586665095263,700.6465332761373,609.13525420574
1,All Population,1,Deaths,160,Afghanistan,3,Both,22,All ages,294,All causes,1,Number,2023,178126.76615184848,189089.13225746716,168645.47475311722
1,All Population,1,Deaths,160,Afghanistan,3,Both,22,All ages,294,All causes,2,Percent,2023,1.0,1.0,1.0
1,All Population,1,Deaths,160,Afghanistan,3,Both,22,All ages,294,All causes,3,Rate,2023,491.4936660836482,521.7414139241303,465.3325518982748
1,All Population,1,Deaths,90,Norway,3,Both,22,All ages,294,All causes,1,Number,2023,43495.474716237324,44040.22671889791,42941.5992436754
1,All Population,1,Deaths,90,Norway,3,Both,22,All ages,294,All causes,2,Percent,2023,1.0,1.0,1.0
1,All Population,1,Deaths,90,Norway,3,Both,22,All ages,294,All causes,3,Rate,2023,795.0214161050685,804.9785325960776,784.8975384967703
1,All Population,1,Deaths,207,Ghana,3,Both,22,All ages,294,All causes,1,Number,2023,239478.16220586124,251499.65415371623,228350.25192849358
1,All Population,1,Deaths,207,Ghana,3,Both,22,All ages,294,All causes,2,Percent,2023,1.0,1.0,1.0
1,All Population,1,Deaths,207,Ghana,3,Both,22,All ages,294,All causes,3,Rate,2023,719.9273416486532,756.0667568711167,686.4742418323817
1,All Population,1,Deaths,141,Egypt,3,Both,22,All ages,294,All causes,1,Number,2023,681272.8926463579,734777.456055524,628307.8829961641
1,All Population,1,Deaths,141,Egypt,3,Both,22,All ages,294,All causes,2,Percent,2023,1.0,1.0,1.0
1,All Population,1,Deaths,141,Egypt,3,Both,22,All ages,294,All causes,3,Rate,2023,620.5697715712599,669.3069443712376,572.3240769389446
1,All Population,1,Deaths,91,Portugal,3,Both,22,All ages,294,All causes,1,Number,2023,119701.0424751051,120922.55552969672,118573.38747799298
1,All Population,1,Deaths,91,Portugal,3,Both,22,All ages,294,All causes,2,Percent,2023,1.0,1.0,1.0
1,All Population,1,Deaths,91,Portugal,3,Both,22,All ages,294,All causes,3,Rate,2023,1135.9149594347314,1147.5066291743165,1125.2139650756606
1,All Population,1,Deaths,142,Iran (Islamic Republic of),3,Both,22,All ages,294,All causes,1,Number,2023,365322.0818664708,378197.79354085063,352372.41976261686
1,All Population,1,Deaths,142,Iran (Islamic Republic of),3,Both,22,All ages,294,All causes,2,Percent,2023,1.0,1.0,1.0
1,All Population,1,Deaths,142,Iran (Islamic Republic of),3,Both,22,All ages,294,All causes,3,Rate,2023,415.4913568999508,430.13527573263707,400.7633321075901
1,All Population,1,Deaths,123,Peru,3,Both,22,All ages,294,All causes,1,Number,2023,211466.88865793208,215963.72491392086,206641.96925178412
1,All Population,1,Deaths,123,Peru,3,Both,22,All ages,294,All causes,2,Percent,2023,1.0,1.0,1.0
1,All Population,1,Deaths,123,Peru,3,Both,22,All ages,294,All causes,3,Rate,2023,585.3579310865608,597.8055477510246,572.0021529826392
1,All Population,1,Deaths,212,Mauritania,3,Both,22,All ages,294,All causes,1,Number,2023,28054.968420528578,29359.12941607022,26759.00311374603
1,All Population,1,Deaths,212,Mauritania,3,Both,22,All ages,294,All causes,2,Percent,2023,1.0,1.0,1.0
1,All Population,1,Deaths,212,Mauritania,3,Both,22,All ages,294,All causes,3,Rate,2023,610.1185509214564,638.4804725904153,581.9348629854514
1,All Population,1,Deaths,125,Colombia,3,Both,22,All ages,294,All causes,1,Number,2023,267396.85526768345,270212.8786426351,264081.9522362052
1,All Population,1,Deaths,125,Colombia,3,Both,22,All ages,294,All causes,2,Percent,2023,1.0,1.0,1.0
1,All Population,1,Deaths,125,Colombia,3,Both,22,All ages,294,All causes,3,Rate,2023,513.0738510107303,518.4771604702842,506.7133047642721
1,All Population,1,Deaths,176,Comoros,3,Both,22,All ages,294,All causes,1,Number,2023,4339.656847207486,4527.343178105839,4160.009318858186
1,All Population,1,Deaths,195,Namibia,3,Both,22,All ages,294,All causes,1,Number,2023,21522.09136490504,22087.60075697502,20957.027329953176
1,All Population,1,Deaths,195,Namibia,3,Both,22,All ages,294,All causes,2,Percent,2023,1.0,1.0,1.0
1,All Population,1,Deaths,195,Namibia,3,Both,22,All ages,294,All causes,3,Rate,2023,714.7446723353935,733.5251346187539,695.9790002795273
1,All Population,1,Deaths,97,Argentina,3,Both,22,All ages,294,All causes,1,Number,2023,373270.251694376,383443.0451725073,363717.5565302323
1,All Population,1,Deaths,97,Argentina,3,Both,22,All ages,294,All causes,2,Percent,2023,1.0,1.0,1.0
1,All Population,1,Deaths,97,Argentina,3,Both,22,All ages,294,All causes,3,Rate,2023,786.1304774319902,807.555016241283,766.0119044247336
1,All Population,1,Deaths,196,South Africa,3,Both,22,All ages,294,All causes,1,Number,2023,571623.8558580363,580799.0645216078,563382.9221952534
1,All Population,1,Deaths,196,South Africa,3,Both,22,All ages,294,All causes,2,Percent,2023,1.0,1.0,1.0
1,All Population,1,Deaths,196,South Africa,3,Both,22,All ages,294,All causes,3,Rate,2023,892.2505338181792,906.5721628825866,879.3872192723915
1,All Population,1,Deaths,107,Barbados,3,Both,22,All ages,294,All causes,1,Number,2023,3257.728533410429,3385.888683442012,3124.61966429406
1,All Population,1,Deaths,107,Barbados,3,Both,22,All ages,294,All causes,2,Percent,2023,1.0,1.0,1.0
1,All Population,1,Deaths,107,Barbados,3,Both,22,All ages,294,All causes,3,Rate,2023,1082.3166073201462,1124.895311270844,1038.093788215133
1,All Population,1,Deaths,374,Niue,3,Both,22,All ages,294,All causes,1,Number,2023,18.884039410864407,19.701930362596006,18.10987238626435
1,All Population,1,Deaths,374,Niue,3,Both,22,All ages,294,All causes,2,Percent,2023,1.0,1.0,1.0
