country,iso_code,Year,regulation,region,regulation_label,ihme_country,death_rate,daly_rate,country_for_merge,reg_binary,log_death_rate,log_daly_rate,wb_country_name,wb_region,income_group,lending_type,gdp_per_capita_ppp_2021,gdp_per_capita_ppp_2021_year,gdp_per_capita_ppp_2021_lag,urban_population_pct,urban_population_pct_year,urban_population_pct_lag,population_age_65plus_pct,population_age_65plus_pct_year,population_age_65plus_pct_lag,health_expenditure_per_capita_usd,health_expenditure_per_capita_usd_year,health_expenditure_per_capita_usd_lag,uhc_service_coverage_index,uhc_service_coverage_index_year,uhc_service_coverage_index_lag,manufacturing_value_added_pct_gdp,manufacturing_value_added_pct_gdp_year,manufacturing_value_added_pct_gdp_lag,pm25_mean_annual_ug_m3,pm25_mean_annual_ug_m3_year,pm25_mean_annual_ug_m3_lag,log_gdp_per_capita_ppp,log_health_expenditure_per_capita
Burundi,BDI,2023,No,Africa,Not regulated,Burundi,799.5039143620558,58456.0815570902,Burundi,0,6.683991428274601,10.976031008657746,Burundi,Sub-Saharan Africa ,Low income,IDA,1028.11134640179,2022.0,0.0,22.3202446002597,2022,0,2.48584998345669,2022,0,25.52155113,2022.0,0.0,,,,11.2360651354458,2022.0,0.0,36.3050025944922,2022.0,0.0,6.936450938339315,3.2779576526720997
Cambodia,KHM,2023,No,Asia,Not regulated,Cambodia,593.5497455718115,30346.69891019745,Cambodia,0,6.386121027844429,10.32044302319799,Cambodia,East Asia & Pacific,Lower middle income,IDA,6458.3681488084,2022.0,0.0,40.374616187368,2022,0,5.7669541078253,2022,0,103.89541626,2022.0,0.0,,,,27.1223298665315,2022.0,0.0,19.8334520389805,2022.0,0.0,8.773286782210977,4.652963818165368
Cameroon,CMR,2023,Yes,Africa,Regulated,Cameroon,774.5025462277397,52431.50921287868,Cameroon,1,6.6522209474276845,10.867263010444654,Cameroon,Sub-Saharan Africa ,Lower middle income,Blend,4843.65038202917,2022.0,0.0,54.8458745688318,2022,0,2.76317198222408,2022,0,72.12950897,2022.0,0.0,,,,13.3641819102017,2022.0,0.0,56.6299237952112,2022.0,0.0,8.485630361149273,4.292231964779257
Canada,CAN,2023,Yes,North America,Regulated,Canada,836.2277010380154,31742.33706533037,Canada,1,6.7289009456615165,10.365406622917632,Canada,North America,High income,Not classified,58583.1299860138,2022.0,0.0,82.3500897353968,2022,0,18.9407471303288,2022,0,6252.34033203,2022.0,0.0,,,,9.32446695410476,2022.0,0.0,6.38948485769886,2022.0,0.0,10.978219119535622,8.740871053086043
Central African Republic,CAF,2023,No,Africa,Not regulated,Central African Republic,1178.8557626887318,84291.07252717185,Central African Republic,0,7.072299554366981,11.342031237162228,Central African Republic,Sub-Saharan Africa ,Low income,IDA,1136.80171107045,2022.0,0.0,43.2751967457285,2022,0,2.14369661121692,2022,0,47.91523361,2022.0,0.0,,,,18.3417721525793,2022.0,0.0,32.636811446638,2022.0,0.0,7.036853356156557,3.890088873733621
Chad,TCD,2023,No,Africa,Not regulated,Chad,1030.9721187123475,76592.14815901191,Chad,0,6.938257440695277,11.2462498460232,Chad,Sub-Saharan Africa ,Low income,IDA,2449.48251052296,2022.0,0.0,25.7635558629694,2022,0,2.05551078224591,2022,0,40.17007446,2022.0,0.0,,,,7.45447343491262,2022.0,0.0,42.4135112395066,2022.0,0.0,7.8040402272186284,3.7177116443786717
Chile,CHL,2023,Yes,South America,Regulated,Chile,633.8814573628148,26998.64257285439,Chile,1,6.451861961186647,10.203541868643166,Chile,Latin America & Caribbean ,High income,IBRD,29560.4513805785,2022.0,0.0,88.6395352768685,2022,0,13.300080015705,2022,0,1541.37927246,2022.0,0.0,,,,9.50169647954698,2022.0,0.0,29.1705232939256,2022.0,0.0,10.294226473335096,7.34108148526754
China,CHN,2023,Yes,Asia,Regulated,China,745.1737830254323,27370.404975469144,China,1,6.613617456983271,10.21721759825223,China,East Asia & Pacific,Upper middle income,IBRD,21499.3125559757,2022.0,0.0,65.2176361083984,2022,0,13.781930345649,2022,0,755.43597412,2022.0,0.0,,,,25.9806695043084,2022.0,0.0,31.8957749766111,2022.0,0.0,9.975822751497327,6.628617895304356
Colombia,COL,2023,Yes,South America,Regulated,Colombia,513.0738510107303,26232.72075785533,Colombia,1,6.240419793894899,10.174762794430006,Colombia,Latin America & Caribbean ,Upper middle income,IBRD,18458.7209460704,2022.0,0.0,78.0464633137335,2022,0,9.00655628107831,2022,0,507.07064819,2022.0,0.0,,,,11.1476678003017,2022.0,0.0,18.8527177779036,2022.0,0.0,9.823346391261675,6.230620509149131
Comoros,COM,2023,No,Africa,Not regulated,Comoros,491.87488465961314,30845.72198928528,Comoros,0,6.198224384680383,10.336753348381803,Comoros,Sub-Saharan Africa ,Lower middle income,IDA,3465.8402271705,2022.0,0.0,32.7746035528748,2022,0,4.45529065390536,2022,0,124.14363861,2022.0,0.0,,,,7.50072769002747,2022.0,0.0,12.0356986217286,2022.0,0.0,8.150998860738069,4.829462186462037
Congo,COG,2023,No,Africa,Not regulated,Congo,704.3191576164811,44953.53982519587,Congo,0,6.55723160231353,10.71338478708157,"Congo, Rep.",Sub-Saharan Africa ,Lower middle income,Blend,6205.1050414034,2022.0,0.0,63.6422003342807,2022,0,2.84985975386671,2022,0,53.11892319,2022.0,0.0,,,,12.8531970155196,2020.0,2.0,37.5746809256317,2022.0,0.0,8.733288770647135,3.9911839063936325
Costa Rica,CRI,2023,Yes,North America,Regulated,Costa Rica,560.3041344635624,26965.774246908,Costa Rica,1,6.328479733561616,10.20232372039112,Costa Rica,Latin America & Caribbean ,High income,IBRD,25290.0087466975,2022.0,0.0,78.4405687613972,2022,0,11.2620626162428,2022,0,978.84155273,2022.0,0.0,,,,14.1335020327695,2022.0,0.0,18.2413082350632,2022.0,0.0,10.13820422604519,6.887390877705099
Cote d'Ivoire,CIV,2023,No,Africa,Not regulated,Côte d'Ivoire,700.6014156829295,50712.39143737392,Cote d'Ivoire,0,6.551939131433525,10.833925566765531,Cote d'Ivoire,Sub-Saharan Africa ,Lower middle income,Blend,6272.26395760029,2022.0,0.0,52.8492549676673,2022,0,2.53282102103497,2022,0,84.89915466,2022.0,0.0,,,,12.8110776060833,2022.0,0.0,21.8306712275434,2022.0,0.0,8.744052065579128,4.453173987963906
Croatia,HRV,2023,Yes,Europe,Regulated,Croatia,1334.8702849101076,39269.541775934194,Croatia,1,7.196589401252196,10.578204478951244,Croatia,Europe & Central Asia,High income,IBRD,39863.9109377649,2022.0,0.0,56.9977571733605,2022,0,22.4847051223347,2022,0,1328.80371094,2022.0,0.0,,,,12.2757457885318,2022.0,0.0,16.8333506097167,2022.0,0.0,10.59325179083815,7.192786624564551
Cuba,CUB,2023,Yes,North America,Regulated,Cuba,1021.0456407985996,34926.58487652127,Cuba,1,6.928582519220994,10.4610035625235,Cuba,Latin America & Caribbean ,Upper middle income,Not classified,,,,77.1056060791016,2022,0,15.8758777267623,2022,0,1199.35327148,2020.0,2.0,,,,10.7402861822829,2022.0,0.0,9.40611001829951,2022.0,0.0,,7.090371185351005
