country,iso_code,Year,regulation,region,regulation_label,ihme_country,death_rate,daly_rate,country_for_merge,reg_binary,log_death_rate,log_daly_rate
Guatemala,GTM,2023,No,North America,Not regulated,Guatemala,537.3443862388858,31295.123827194828,Guatemala,0,6.286639204110391,10.351217576123457
Guinea,GIN,2023,No,Africa,Not regulated,Guinea,845.2766416878607,57133.3042276744,Guinea,0,6.739663960390724,10.95314248704364
Guinea-Bissau,GNB,2023,No,Africa,Not regulated,Guinea-Bissau,804.5937438242108,54863.698026480575,Guinea-Bissau,0,6.690337483974908,10.912607170649945
Guyana,GUY,2023,Yes,South America,Regulated,Guyana,830.8140376730757,40391.42220047913,Guyana,1,6.722405988432485,10.606372719635464
Haiti,HTI,2023,No,North America,Not regulated,Haiti,935.2863781836796,55458.73179045157,Haiti,0,6.840852769219917,10.923394451805024
Honduras,HND,2023,No,North America,Not regulated,Honduras,443.25911767735306,24653.400984387456,Honduras,0,6.094154514798826,10.112670140922782
Hungary,HUN,2023,Yes,Europe,Regulated,Hungary,1324.5372407814332,40607.22940565903,Hungary,1,7.188818425177127,10.611701393917073
Iceland,ISL,2023,Yes,Europe,Regulated,Iceland,664.7876789465762,25462.97691932607,Iceland,1,6.499467709895629,10.144980790622826
India,IND,2023,Yes,Asia,Regulated,India,682.0642484630768,33556.58235279176,India,1,6.5251238593639505,10.420988318470254
Iraq,IRQ,2023,Yes,Asia,Regulated,Iraq,506.4192768186972,30386.04121115306,Iraq,1,6.2273649364930925,10.321738611257418
Ireland,IRL,2023,Yes,Europe,Regulated,Ireland,668.181486455389,25472.44766658214,Ireland,1,6.504559822947066,10.14535266333979
Israel,ISR,2023,Yes,Asia,Regulated,Israel,508.5350234527624,21103.29599585149,Israel,1,6.2315340891300695,9.957184515599101
Italy,ITA,2023,Yes,Europe,Regulated,Italy,1141.666542440329,32402.57241097848,Italy,1,7.04024435321682,10.385993094029343
Jamaica,JAM,2023,Yes,North America,Regulated,Jamaica,711.2028622325878,31231.428571443124,Jamaica,1,6.566957708703109,10.349180192792979
Japan,JPN,2023,No,Asia,Not regulated,Japan,1297.34579625788,34052.62452574769,Japan,0,7.1680757611624655,10.435662387190156
Jordan,JOR,2023,Yes,Asia,Regulated,Jordan,310.0292696957682,20458.212822777503,Jordan,1,5.736666711395504,9.926139685875029
Kazakhstan,KAZ,2023,Yes,Asia,Regulated,Kazakhstan,643.1143844821116,29374.611101453665,Kazakhstan,1,6.466322600301822,10.287886012259372
Kenya,KEN,2023,Yes,Africa,Regulated,Kenya,536.2814075503861,33645.413848561526,Kenya,1,6.284659037385667,10.423632035994428
Kuwait,KWT,2023,Yes,Asia,Regulated,Kuwait,195.5576160442604,18390.29045594147,Kuwait,1,5.275855047230436,9.819578111706454
Kyrgyzstan,KGZ,2023,Yes,Asia,Regulated,Kyrgyzstan,435.6983193325104,24406.853645313688,Kyrgyzstan,1,6.076950075719837,10.102619258942916
Laos,LAO,2023,Yes,Asia,Regulated,Lao People's Democratic Republic,801.1341045121632,40197.887897402485,Laos,1,6.686028354418466,10.601569733361236
Latvia,LVA,2023,Yes,Europe,Regulated,Latvia,1471.8354072259956,43967.480690024335,Latvia,1,7.294265477293766,10.69120556442294
Lebanon,LBN,2023,Yes,Asia,Regulated,Lebanon,532.0731711721944,27188.084681078744,Lebanon,1,6.2767810196812714,10.210534093110741
Lesotho,LSO,2023,No,Africa,Not regulated,Lesotho,1185.465991120336,62912.74708761376,Lesotho,0,7.077891217721836,11.049504078557352
Liberia,LBR,2023,No,Africa,Not regulated,Liberia,841.518548763522,58141.75410682586,Liberia,0,6.735208055887657,10.970639344053792
Liechtenstein,LIE,2023,Yes,Europe,Regulated,,,,,1,,
Lithuania,LTU,2023,Yes,Europe,Regulated,Lithuania,1362.068853201853,42081.56551268139,Lithuania,1,7.216760038443336,10.6473650499677
Luxembourg,LUX,2023,Yes,Europe,Regulated,Luxembourg,650.4812104689405,24742.12575421925,Luxembourg,1,6.477712412783567,10.116262566031283
Madagascar,MDG,2023,No,Africa,Not regulated,Madagascar,748.2113603640832,48815.46166189659,Madagascar,0,6.61768550539151,10.795802378992837
Malawi,MWI,2023,Yes,Africa,Regulated,Malawi,751.5567346849618,48307.55842919885,Malawi,1,6.622146701599509,10.78534331661487
Malaysia,MYS,2023,No,Asia,Not regulated,Malaysia,560.428057394469,24851.59902103796,Malaysia,0,6.328700879937729,10.120677376377657
Maldives,MDV,2023,No,Asia,Not regulated,Maldives,353.97926955282014,18521.442482986877,Maldives,0,5.869238350833783,9.826684393017333
Mali,MLI,2023,No,Africa,Not regulated,Mali,817.7542685589544,62325.43047987096,Mali,0,6.706561886287418,11.04012481538549
Malta,MLT,2023,Yes,Europe,Regulated,Malta,732.6106496843163,26251.971515168843,Malta,1,6.596614387072684,10.175496370539271
Mauritius,MUS,2023,No,Africa,Not regulated,Mauritius,1008.9887331791294,38384.207926888426,Mauritius,0,6.91670385396731,10.555401402084614
Mexico,MEX,2023,Yes,North America,Regulated,Mexico,603.8913106867179,31125.6931127651,Mexico,1,6.40339423254784,10.345788902202282
Moldova,MDA,2023,No,Europe,Not regulated,Republic of Moldova,1060.8132551100343,38357.78623252169,Moldova,0,6.9667911147438355,10.554712817022416
Monaco,MCO,2023,Yes,Europe,Regulated,Monaco,1394.3865701093996,38192.86717664944,Monaco,1,7.240209862855212,10.550404054035374
Mongolia,MNG,2023,No,Asia,Not regulated,Mongolia,534.3706133997774,28626.362165215884,Mongolia,0,6.28108963081481,10.262083326282097
Montenegro,MNE,2023,Yes,Europe,Regulated,Montenegro,1068.2142429638,35063.84346255381,Montenegro,1,6.973743601428274,10.464925777753573
Morocco,MAR,2023,Yes,Africa,Regulated,Morocco,757.5187401203378,32428.628243918967,Morocco,1,6.630048276510299,10.386796899421814
Mozambique,MOZ,2023,No,Africa,Not regulated,Mozambique,696.2216280943865,49891.2020432166,Mozambique,0,6.545668040816071,10.817599954435678
Myanmar,MMR,2023,No,Asia,Not regulated,Myanmar,988.0771747943952,45686.52313144748,Myanmar,0,6.89576080683735,10.72955863473572
Nepal,NPL,2023,Yes,Asia,Regulated,Nepal,579.3302395701672,31090.9762251966,Nepal,1,6.361872676930369,10.34467290253399
Netherlands,NLD,2023,Yes,Europe,Regulated,Netherlands,954.7776708610112,31344.981031258627,Netherlands,1,6.86147850799621,10.352809438547848
New Zealand,NZL,2023,Yes,Oceania,Regulated,New Zealand,757.6178524967801,28829.324409996087,New Zealand,1,6.630179106135913,10.269148356781606
Nicaragua,NIC,2023,No,North America,Not regulated,Nicaragua,432.2444583940535,25480.58431436113,Nicaragua,0,6.068991304108872,10.145672041697928
Niger,NER,2023,No,Africa,Not regulated,Niger,1022.972541929646,79989.57625840165,Niger,0,6.930467924857924,11.289651608396678
Nigeria,NGA,2023,No,Africa,Not regulated,Nigeria,728.0564705666791,54295.82226658995,Nigeria,0,6.590378614648055,10.902202564961962
North Macedonia,MKD,2023,Yes,Europe,Regulated,North Macedonia,1135.2409838180006,36000.05921116155,North Macedonia,1,7.03460022792318,10.491275862191381
Norway,NOR,2023,Yes,Europe,Regulated,Norway,795.0214161050685,27338.090956896427,Norway,1,6.6783690527884385,10.21603628183035
Oman,OMN,2023,Yes,Asia,Regulated,Oman,239.22444765000387,18333.072283910074,Oman,1,5.477402222748475,9.816461936385672
Pakistan,PAK,2023,Yes,Asia,Regulated,Pakistan,562.9626426805124,36376.647550209615,Pakistan,1,6.333213271907103,10.501682296924628
Palau,PLW,2023,No,Oceania,Not regulated,Palau,1105.6821297169226,44773.393973753344,Palau,0,7.0082177354542186,10.709369357469383
Panama,PAN,2023,Yes,North America,Regulated,Panama,538.3848692028849,26306.14844667292,Panama,1,6.288573674672027,10.177557972085596
Paraguay,PRY,2023,Yes,South America,Regulated,Paraguay,678.1557417643229,31851.13931854469,Paraguay,1,6.519376969178636,10.368828431743408
Peru,PER,2023,Yes,South America,Regulated,Peru,585.3579310865608,28198.014140062987,Peru,1,6.372223508140392,10.247006833881418
Philippines,PHL,2023,Yes,Asia,Regulated,Philippines,578.1707733725023,29353.100889300888,Philippines,1,6.359869280695717,10.287153471781103
Poland,POL,2023,Yes,Europe,Regulated,Poland,1049.707879679356,35247.42186919817,Poland,1,6.95626719461485,10.470147667103204
Portugal,PRT,2023,Yes,Europe,Regulated,Portugal,1135.9149594347314,33968.86673985778,Portugal,1,7.035193736826447,10.43319969998166
Qatar,QAT,2023,Yes,Asia,Regulated,Qatar,103.60821942089616,14746.926295968566,Qatar,1,4.640616664717825,9.598789953338443
Romania,ROU,2023,Yes,Europe,Regulated,Romania,1273.386398684444,39727.07027242912,Romania,1,7.14943508642367,10.589788105149026
Russia,RUS,2023,Yes,Europe,Regulated,Russian Federation,1208.458684650001,44162.05671195808,Russia,1,7.097101012260836,10.695621253959692
Rwanda,RWA,2023,No,Africa,Not regulated,Rwanda,725.798806555082,44592.43963436255,Rwanda,0,6.587272850461115,10.70531960871427
Saint Kitts and Nevis,KNA,2023,No,North America,Not regulated,Saint Kitts and Nevis,788.7751949674569,34030.386452846404,Saint Kitts and Nevis,0,6.6704813562517025,10.435009123670447
Saint Lucia,LCA,2023,No,North America,Not regulated,Saint Lucia,739.6706261308252,32878.833200344816,Saint Lucia,0,6.6062049872886766,10.400584361932934
Samoa,WSM,2023,No,Oceania,Not regulated,Samoa,635.3973747238421,29891.528446069067,Samoa,0,6.454250590136358,10.305330389670466
Sao Tome and Principe,STP,2023,No,Africa,Not regulated,Sao Tome and Principe,546.6369987190603,31331.847627460163,Sao Tome and Principe,0,6.303784960041565,10.352390355314961
Saudi Arabia,SAU,2023,Yes,Asia,Regulated,Saudi Arabia,299.0189526386412,21941.097680278017,Saudi Arabia,1,5.70050695813314,9.996116763584002
Senegal,SEN,2023,No,Africa,Not regulated,Senegal,545.9839066492503,36399.654743844,Senegal,0,6.302589500309136,10.502314568520617
Serbia,SRB,2023,Yes,Europe,Regulated,Serbia,1334.663883005549,39134.59924558501,Serbia,1,7.196434766104648,10.574762245879493
Sierra Leone,SLE,2023,No,Africa,Not regulated,Sierra Leone,977.7932021263952,66089.90546567558,Sierra Leone,0,6.885298197907651,11.098771298075755
Singapore,SGP,2023,No,Asia,Not regulated,Singapore,473.27590533705,20819.87665661938,Singapore,0,6.159678527813799,9.943663417877607
Slovakia,SVK,2023,Yes,Europe,Regulated,Slovakia,998.9974573517336,34477.49783940802,Slovakia,1,6.906752233451854,10.448062153681766
Slovenia,SVN,2023,Yes,Europe,Regulated,Slovenia,1020.9718410430096,32707.76516150696,Slovenia,1,6.928510238002759,10.395367795407338
Solomon Islands,SLB,2023,No,Oceania,Not regulated,Solomon Islands,819.1762083524335,37108.932699967394,Solomon Islands,0,6.7082992113249675,10.521612993198246
South Africa,ZAF,2023,Yes,Africa,Regulated,South Africa,892.2505338181792,46751.97530845904,South Africa,1,6.793746960653284,10.752611786411578
South Korea,KOR,2023,Yes,Asia,Regulated,Republic of Korea,683.032235015914,25966.968913513305,South Korea,1,6.526542054673649,10.164580582924527
Spain,ESP,2023,Yes,Europe,Regulated,Spain,932.2041477615552,29692.66610024221,Spain,1,6.837551833361863,10.298655361646126
Sri Lanka,LKA,2023,Yes,Asia,Regulated,Sri Lanka,801.1897213889325,29926.289939193568,Sri Lanka,1,6.686097774689067,10.30649263523461
Sudan,SDN,2023,No,Africa,Not regulated,Sudan,644.854112892163,35687.78694375005,Sudan,0,6.469024109650327,10.482563806821384
Suriname,SUR,2023,No,South America,Not regulated,Suriname,758.7539116400536,36404.42069831488,Suriname,0,6.63167749773446,10.502445494006555
Sweden,SWE,2023,Yes,Europe,Regulated,Sweden,890.862507123236,28501.077620470794,Sweden,1,6.792190102570333,10.257697176786504
Switzerland,CHE,2023,Yes,Europe,Regulated,Switzerland,795.7201370061277,27023.941292609645,Switzerland,1,6.679247537347578,10.204478466628467
